12FF, , 13FM, , 14FF, , 15FM, , 18FM, , 19FM, , 20FM, , 22FM, 
1.868662101, 841.9462299, 2.013121209, 720.0774193, 1.718834407, 704.5083758, 1.901565129, 746.1578439, 1.235348451, 854.4874698, 1.303193023, 829.1610049, 1.014443369, 797.7205773, 1.40144087, 707.2364943
1.900137692, 851.1170103, 2.050468889, 718.4023335, 1.753296266, 692.3253543, 1.939590678, 752.6988128, 1.273021804, 851.1474272, 1.339336814, 828.213295, 1.051280032, 790.5051332, 1.439148892, 708.5403304
1.932628451, 860.1290413, 2.087777464, 719.4255436, 1.771383827, 681.4467939, 1.977638255, 761.0857365, 1.310651371, 845.8107767, 1.375488251, 825.774495, 1.088147467, 784.4725487, 1.476841971, 708.4739619
1.967156617, 871.5888828, 2.125084338, 720.566071, 1.798183048, 668.3803681, 2.015670687, 768.2035663, 1.34828609, 840.7090212, 1.411654981, 820.3535147, 1.125064136, 780.3325398, 1.514528824, 707.8366748
2.003153296, 881.4394796, 2.162365709, 723.4663566, 1.822301149, 651.0208621, 2.05371138, 776.0136291, 1.385597713, 832.8272166, 1.447835828, 812.1797525, 1.162023886, 777.8485344, 1.552211942, 706.8568365
2.037694156, 889.1791395, 2.199619875, 728.2437176, 1.846444276, 636.8370888, 2.091746566, 783.3622033, 1.423382962, 822.6365264, 1.48402491, 802.4002008, 1.199063642, 778.4399643, 1.589906267, 706.9046518
2.071071356, 898.5008016, 2.236564785, 736.4756456, 1.883512927, 628.5944563, 2.130442219, 791.85341, 1.460870871, 810.8402623, 1.520218109, 791.8177545, 1.236134169, 780.2142538, 1.627584404, 705.4680786
2.10680431, 906.5768036, 2.273210074, 747.4973429, 1.921255053, 624.1003787, 2.170719966, 802.8331161, 1.483799408, 802.1190627, 1.545855057, 784.3027385, 1.27326624, 784.3542628, 1.665274993, 705.1733427
2.139196274, 913.5000298, 2.312236014, 758.7880877, 1.959053003, 626.6904653, 2.206413197, 812.675932, 1.515795044, 793.2805988, 1.579000589, 780.7576888, 1.310429082, 789.6771314, 1.702975543, 705.7920765
2.174704422, 922.4271708, 2.346289712, 771.3211417, 1.996861936, 630.6741581, 2.244346687, 822.8594911, 1.546129014, 782.779371, 1.615141439, 780.3834752, 1.347653467, 797.3657194, 1.740667377, 705.6115242
2.207794617, 928.4035936, 2.383561556, 787.6531554, 2.034685511, 636.5159924, 2.282670074, 836.8867794, 1.582751005, 774.5283736, 1.651255231, 785.2854267, 1.384874776, 804.9360214, 1.77835423, 704.9742371
2.241106064, 933.2890845, 2.422500481, 801.3711083, 2.072539287, 646.1902434, 2.32022546, 849.8935358, 1.62030588, 765.785745, 1.689952176, 794.676123, 1.422089929, 812.2697515, 1.816039839, 704.2227663
2.277540092, 940.6101176, 2.459696839, 810.1372547, 2.110384826, 654.8192898, 2.357864461, 863.7918442, 1.657919994, 759.7444094, 1.722210581, 806.0132406, 1.45928662, 818.8937658, 1.853727937, 703.6996629
2.311791459, 944.8366831, 2.496930603, 816.3224223, 2.148235856, 664.1451393, 2.394410757, 876.978599, 1.695572742, 755.4647866, 1.757695188, 818.4134858, 1.496489465, 825.754352, 1.891421016, 703.6332944
2.34603163, 948.3079006, 2.534194971, 820.39588, 2.186081394, 672.7741858, 2.427131926, 893.2982742, 1.733284728, 753.8864568, 1.795593347, 827.7183825, 1.533670771, 831.7869365, 1.929115341, 703.6811096
2.380262204, 951.1316768, 2.571500145, 821.6537246, 2.223939746, 683.029106, 2.463207103, 906.7552208, 1.771014744, 753.1302596, 1.831695963, 834.7996197, 1.570827458, 836.8732331, 1.966819627, 704.6423946
2.414505574, 954.818708, 2.608849526, 819.8613216, 2.261804503, 694.0969632, 2.500218609, 921.0694564, 1.808796272, 754.7230128, 1.867800344, 841.5367592, 1.607956452, 840.8949561, 2.004513951, 704.6902098
2.448715356, 956.239695, 2.646210808, 817.2476981, 2.299664685, 704.5841511, 2.53470353, 935.6557928, 1.846606132, 757.6076887, 1.903899431, 849.3061918, 1.645103908, 845.6263949, 2.042200805, 704.0529227
2.482923539, 957.5527752, 2.683573791, 814.5167573, 2.339360779, 715.0085285, 2.575955533, 941.5509701, 1.884454626, 762.2540775, 1.939992636, 858.2226169, 1.682165204, 847.0458265, 2.079892639, 703.8723705
2.517120526, 958.1105072, 2.720931673, 812.1377682, 2.374312064, 725.5892014, 2.605338415, 932.1092058, 1.922287666, 766.1957811, 1.977523619, 867.0544266, 1.719211114, 847.8738283, 2.117586963, 703.9201857
2.551322311, 958.9919599, 2.758275952, 810.6973169, 2.413273599, 739.645864, 2.625593987, 920.2761511, 1.960115555, 769.9025897, 2.014873243, 879.2189076, 1.756223176, 847.4006844, 2.155281288, 703.9680009
2.585528895, 960.1971332, 2.79560153, 810.5473549, 2.449540792, 747.7314882, 2.663257232, 921.7515131, 1.997891932, 771.2604479, 2.048770503, 889.4535514, 1.793259854, 847.8738283, 2.192975612, 704.0158161
2.619711487, 959.7837034, 2.832905004, 811.9225166, 2.486627724, 759.9676939, 2.691495587, 939.2620503, 2.035658006, 772.148516, 2.082387828, 902.0031466, 1.830247298, 846.4543967, 2.230681143, 705.0912848
2.653871687, 957.8595776, 2.870172772, 815.76134, 2.526471607, 772.5006678, 2.711093587, 955.438085, 2.073436959, 773.6238217, 2.113279918, 918.4097552, 1.867210125, 844.0886773, 2.268379203, 705.4816512
2.688023891, 955.3959174, 2.907440541, 819.6001633, 2.564762829, 787.7497093, 2.730950065, 973.198808, 2.111182428, 773.5723096, 2.145480071, 931.4258086, 1.904114486, 839.4755245, 2.306090961, 707.1280384
2.722161699, 951.9610954, 2.945993509, 824.1808621, 2.605418326, 798.8623926, 2.750758853, 990.9782214, 2.148945927, 774.3429302, 2.183478544, 946.3377522, 1.94101577, 834.7440857, 2.343805208, 709.0027932
2.756315502, 949.605342, 2.981908068, 831.9704985, 2.64049875, 810.6983604, 2.786845553, 997.6573416, 2.186696548, 774.5263131, 2.219605276, 948.7163204, 1.977892436, 829.0663592, 2.381529417, 711.7910176
2.79042932, 944.551917, 3.02041154, 839.9664318, 2.675639075, 825.5960719, 2.824729296, 992.3149767, 2.224498681, 777.0586465, 2.255766124, 944.4423325, 2.014719868, 821.4960571, 2.419264833, 715.6068956
2.824269816, 937.076456, 3.056309286, 848.9162051, 2.712675246, 841.3781576, 2.862690137, 993.4334534, 2.262329145, 780.8829026, 2.292210812, 933.7577221, 2.051724749, 810.8634628, 2.456992777, 718.7376712
2.855711375, 927.9331696, 3.091695067, 857.4232334, 2.7483582, 855.2234348, 2.89917173, 1003.09094, 2.300172488, 785.2943963, 2.316120278, 920.5346966, 2.088242414, 801.2691564, 2.494738154, 723.4670189
2.878361154, 918.3056213, 3.129884938, 869.1735443, 2.782639617, 870.9874736, 2.926252831, 1019.987226, 2.338028708, 790.2931277, 2.344799402, 907.0528103, 2.124983685, 790.3868472, 2.532461118, 726.1410597
2.903198926, 912.1322301, 3.167808247, 881.4324565, 2.815808687, 885.4188193, 2.95711627, 1032.785722, 2.375902958, 796.1139916, 2.368970866, 891.6783276, 2.161669568, 777.3753906, 2.57017163, 727.6732633
2.918226983, 900.8700453, 3.206802714, 891.3180471, 2.849523755, 899.9936059, 2.997902081, 1039.611082, 2.413800388, 802.9918833, 2.391393046, 874.8473541, 2.188452036, 763.7402443, 2.60790331, 731.1465901
2.939206126, 890.6565174, 3.244946186, 902.6929883, 2.885224018, 912.962244, 3.02523671, 1033.586274, 2.451708121, 810.339565, 2.409797209, 858.5193056, 2.223882997, 751.0083727, 2.645649933, 735.9901215
2.957343436, 874.5234314, 3.27930988, 913.7643523, 2.924747538, 927.0957684, 3.038509252, 1019.575301, 2.489602975, 817.1000091, 2.427939688, 844.2815415, 2.248600524, 738.8614789, 2.683407762, 741.8613064
2.964406751, 860.9094518, 3.318354572, 929.1264951, 2.961533444, 941.0814311, 3.048166476, 1005.457806, 2.527515859, 824.6825859, 2.446338885, 828.9220645, 2.27564013, 728.6415712, 2.721199211, 750.8154517
2.979148605, 846.3561524, 3.353072533, 942.5796173, 3.000557587, 959.4512608, 3.065807269, 988.3991148, 2.565982102, 832.6726627, 2.46875662, 812.9577074, 2.295181317, 714.82577, 2.759015564, 762.0532714
2.982117018, 830.3814761, 3.387914045, 952.8729277, 3.037108276, 970.2211112, 3.079431495, 970.7343225, 2.604100025, 845.0912935, 2.491181257, 795.6475459, 2.321669497, 701.1992263, 2.796821955, 772.3776214
2.99291588, 814.1054052, 3.427841004, 966.3762412, 3.076293508, 982.3999119, 3.092847067, 952.1467365, 2.641435661, 855.6907918, 2.509584375, 779.5234073, 2.349041846, 685.9797649, 2.834625856, 782.4736039
2.993901472, 796.5052598, 3.464769101, 975.768306, 3.111343565, 990.3823477, 3.104539721, 933.7240715, 2.677066217, 866.7770135, 2.525470514, 764.8287284, 2.376420351, 670.9968755, 2.872411079, 790.8568306
2.99848858, 781.6166712, 3.502218418, 984.9643888, 3.152012041, 1003.14202, 3.109591636, 914.4040654, 2.71743056, 878.5683325, 2.540623755, 746.2349026, 2.403788597, 655.6196994, 2.910180115, 797.755669
3.001476278, 766.9430434, 3.539430079, 992.6746802, 3.189840192, 1009.564524, 3.114124376, 896.7477173, 2.756700215, 888.2542043, 2.555772028, 728.6096483, 2.431265571, 644.421961, 2.947960357, 805.6821609
3.001271554, 753.1309645, 3.57664854, 999.9157027, 3.227652785, 1014.012752, 3.121031562, 879.3199107, 2.795231244, 900.1180065, 2.566395204, 712.4919929, 2.468009919, 633.6579378, 2.98574309, 813.8370201
3.001068428, 739.4267924, 3.613877203, 1006.452822, 3.265442499, 1015.557634, 3.126746412, 861.3493081, 2.830122658, 907.3821242, 2.581833369, 697.0636153, 2.504772731, 623.6036304, 3.023558198, 824.9606561
3.005887451, 720.7782177, 3.651122869, 1011.816769, 3.303224892, 1016.173445, 3.124835802, 843.2044869, 2.869244359, 916.2978333, 2.594168237, 679.94538, 2.541590931, 615.6784705, 3.061363344, 835.1708224
3.011629973, 702.3343259, 3.688388937, 1015.77291, 3.34098166, 1013.537509, 3.129737812, 824.94529, 2.906935741, 913.7799233, 2.607299727, 664.0878029, 2.578433749, 608.6995983, 3.099174716, 845.9519072
3.008827167, 686.2332565, 3.725651605, 1019.963685, 3.378725616, 1009.275699, 3.129143022, 802.2813687, 2.944601367, 910.0875381, 2.620038687, 646.472567, 2.615298107, 602.5487279, 3.136971146, 855.3627874
3.008622442, 672.4211776, 3.762944877, 1022.04275, 3.416448524, 1002.342811, 3.129894801, 773.5497226, 2.98225669, 905.9253628, 2.634597792, 626.2836493, 2.652153233, 596.0429996, 3.17476135, 864.202749
